cycle_start_iso,torque_amp_nm,torque_rms_nm
2025-10-02T06:34:20.960634,2.485775,2.109511
2025-10-02T06:34:21.563044,2.509746,2.129496
2025-10-02T06:34:22.165454,2.533038,2.140392
2025-10-02T06:34:22.767864,2.533422,2.162322
2025-10-02T06:34:23.370274,2.550253,2.177003
2025-10-02T06:34:23.972684,2.569683,2.197234
2025-10-02T06:34:24.575094,2.546096,2.211080
2025-10-02T06:34:25.177504,2.577500,2.231861
2025-10-02T06:34:25.779914,2.562769,2.239646
2025-10-02T06:34:26.382324,2.593020,2.260685
2025-10-02T06:34:26.984734,2.610010,2.259884
2025-10-02T06:34:27.587144,2.588773,2.268192
2025-10-02T06:34:28.189554,2.608993,2.277422
2025-10-02T06:34:28.791964,2.617646,2.272936
2025-10-02T06:34:29.394374,2.616132,2.268312
2025-10-02T06:34:29.996784,2.605762,2.278290
2025-10-02T06:34:30.599194,2.653342,2.281110
2025-10-02T06:34:31.201604,2.637730,2.284609
2025-10-02T06:34:31.804014,2.654471,2.298479
2025-10-02T06:34:32.406424,2.666852,2.298108
2025-10-02T06:34:33.008834,2.678645,2.309597
2025-10-02T06:34:33.611244,2.678532,2.310754
2025-10-02T06:34:34.213654,2.684361,2.312034
2025-10-02T06:34:34.816064,2.706998,2.313338
2025-10-02T06:34:35.418474,2.715515,2.310918
2025-10-02T06:34:36.020884,2.735622,2.300012
2025-10-02T06:34:36.623294,2.743168,2.293520
2025-10-02T06:34:37.225704,2.745586,2.286776
2025-10-02T06:34:37.828114,2.761061,2.277705
2025-10-02T06:34:38.430524,2.766664,2.250992
2025-10-02T06:34:39.032934,2.775023,2.245657
2025-10-02T06:34:39.635344,2.737746,2.237350
2025-10-02T06:34:40.237754,2.767252,2.241223
2025-10-02T06:34:40.840164,2.800733,2.261883
2025-10-02T06:34:41.442574,2.792216,2.274571
2025-10-02T06:34:42.044984,2.816096,2.299158
2025-10-02T06:34:42.647394,2.793391,2.317835
2025-10-02T06:34:43.249804,2.821654,2.336313
2025-10-02T06:34:43.852214,2.846686,2.356844
2025-10-02T06:34:44.454624,2.836994,2.367481
2025-10-02T06:34:45.057034,2.849555,2.384995
2025-10-02T06:34:45.659444,2.859586,2.388036
2025-10-02T06:34:46.261854,2.849442,2.394509
2025-10-02T06:34:46.864264,2.878857,2.405266
2025-10-02T06:34:47.466674,2.902285,2.455139
2025-10-02T06:34:48.069084,2.884279,2.404085
2025-10-02T06:34:48.671494,2.863991,2.406494
2025-10-02T06:34:49.273904,2.910328,2.407685
2025-10-02T06:34:49.876314,2.906962,2.413953
2025-10-02T06:34:50.478724,2.926594,2.424392
2025-10-02T06:34:51.081134,2.934615,2.435102
2025-10-02T06:34:51.683544,2.948893,2.438799
2025-10-02T06:34:52.285954,2.945572,2.440480
2025-10-02T06:34:52.888364,2.944804,2.442269
2025-10-02T06:34:53.490774,2.949232,2.450691
2025-10-02T06:34:54.093184,2.983956,2.444374
2025-10-02T06:34:54.695594,2.967215,2.433615
2025-10-02T06:34:55.298004,2.984272,2.426673
2025-10-02T06:34:55.900414,2.992948,2.414056
2025-10-02T06:34:56.502824,3.010366,2.406994
2025-10-02T06:34:57.105234,3.019381,2.390622
2025-10-02T06:34:57.707644,3.017347,2.363993
2025-10-02T06:34:58.310054,3.006119,2.363796
2025-10-02T06:34:58.912464,3.029253,2.361553
2025-10-02T06:34:59.514874,3.033523,2.375639
2025-10-02T06:35:00.117284,3.045068,2.395610
2025-10-02T06:35:00.719694,3.076019,2.420400
2025-10-02T06:35:01.322104,3.062825,2.442776
2025-10-02T06:35:01.924514,3.073850,2.461057
2025-10-02T06:35:02.526924,3.091969,2.485844
2025-10-02T06:35:03.129334,3.064836,2.487838
2025-10-02T06:35:03.731744,3.095471,2.506434
2025-10-02T06:35:04.334154,3.122085,2.519584
2025-10-02T06:35:04.936564,3.122966,2.529509
2025-10-02T06:35:05.538974,3.127145,2.538710
2025-10-02T06:35:06.141384,3.117092,2.534846
2025-10-02T06:35:06.743794,3.116956,2.539637
2025-10-02T06:35:07.346204,3.135753,2.533736
2025-10-02T06:35:07.948614,3.136634,2.534288
2025-10-02T06:35:08.551024,3.126581,2.539399
2025-10-02T06:35:09.153434,3.174340,2.542373
2025-10-02T06:35:09.755844,3.173482,2.550840
2025-10-02T06:35:10.358254,3.179288,2.565725
2025-10-02T06:35:10.960664,3.184168,2.566520
2025-10-02T06:35:11.563074,3.189319,2.567884
2025-10-02T06:35:12.165484,3.199192,2.572768
2025-10-02T06:35:12.767894,3.226867,2.577747
2025-10-02T06:35:13.370304,3.198130,2.571085
2025-10-02T06:35:13.972714,3.232515,2.574018
2025-10-02T06:35:14.575124,3.238728,2.565670
2025-10-02T06:35:15.177534,3.243156,2.562621
2025-10-02T06:35:15.779944,3.251877,2.547303
2025-10-02T06:35:16.382354,3.257706,2.532510
2025-10-02T06:35:16.984764,3.237124,2.512815
2025-10-02T06:35:17.587174,3.253210,2.489047
2025-10-02T06:35:18.189584,3.246048,2.485358
2025-10-02T06:35:18.791994,3.254294,2.377774
2025-10-02T06:35:19.394404,3.275147,2.516009
2025-10-02T06:35:19.996814,3.287979,2.541391
2025-10-02T06:35:20.599224,3.316536,2.567066
2025-10-02T06:35:21.201634,3.328871,2.580706
2025-10-02T06:35:21.804044,3.319721,2.594518
2025-10-02T06:35:22.406454,3.297174,2.615658
2025-10-02T06:35:23.008864,3.325076,2.625702
2025-10-02T06:35:23.611274,3.320828,2.640706
2025-10-02T06:35:24.213684,3.344437,2.644711
2025-10-02T06:35:24.816094,3.339128,2.656199
2025-10-02T06:35:25.418504,3.331198,2.654101
2025-10-02T06:35:26.020914,3.364702,2.653333
2025-10-02T06:35:26.623324,3.334406,2.639455
2025-10-02T06:35:27.225734,3.359461,2.641972
2025-10-02T06:35:27.828144,3.344753,2.640997
2025-10-02T06:35:28.430554,3.376315,2.650194
2025-10-02T06:35:29.032964,3.388808,2.661065
2025-10-02T06:35:29.635374,3.392920,2.663835
2025-10-02T06:35:30.237784,3.371525,2.673687
2025-10-02T06:35:30.840194,3.417907,2.686957
2025-10-02T06:35:31.442604,3.398387,2.685968
2025-10-02T06:35:32.045014,3.404804,2.679944
2025-10-02T06:35:32.647424,3.420505,2.681130
2025-10-02T06:35:33.249834,3.437494,2.676390
2025-10-02T06:35:33.852244,3.438647,2.669605
2025-10-02T06:35:34.454654,3.435167,2.654262
2025-10-02T06:35:35.057064,3.412824,2.637349
2025-10-02T06:35:35.659474,3.449107,2.620314
2025-10-02T06:35:36.261884,3.450892,2.602854
2025-10-02T06:35:36.864294,3.430581,2.577265
2025-10-02T06:35:37.466704,3.416100,2.576110
2025-10-02T06:35:38.069114,3.484509,2.583398
2025-10-02T06:35:38.671524,3.466074,2.597020
2025-10-02T06:35:39.273934,3.474320,2.620999
2025-10-02T06:35:39.876344,3.483583,2.643157
2025-10-02T06:35:40.478754,3.467452,2.671289
2025-10-02T06:35:41.081164,3.496438,2.689618
